VesselAISKey,AISTrajectPositionTimeStamp,AISTrajectPositionLongitude,AISTrajectPositionLatitude,AISTrajectPositionNorthing,AISTrajectPositionEasting,AISTrajectPositionCourseOverGround,AISTrajectPositionSpeedOverGround
123187,2018-01-02 22:49:48.167,3.990134954,51.95087433,5756037.37,568046.874,282.8,0
123187,2018-01-04 12:30:58.843,4.038710117,51.9729538,5758539.546,571350.043,240.9,3.5
123187,2018-01-04 12:38:48.660,4.050395012,51.96736526,5757929.53,572161.6452,115.3,5.1
123187,2018-01-04 12:51:47.697,4.075336456,51.95789337,5756901.129,573890.6367,158,4.6
123187,2018-01-04 14:05:46.443,4.075306892,51.9509201,5756125.551,573900.0692,297.6,0
123187,2018-01-04 14:36:06.063,4.075065136,51.95075989,5756107.486,573883.7184,180.7,0
123187,2018-01-02 23:07:17.097,3.990134954,51.95087433,5756037.37,568046.874,282.8,0
123187,2018-01-04 15:43:27.357,4.074933529,51.95106125,5756140.869,573874.1787,290.2,0
123187,2018-01-04 16:30:56.053,4.074928284,51.95107269,5756142.137,573873.7995,290.2,0
123187,2018-01-04 17:05:56.387,4.074928284,51.95107269,5756142.137,573873.7995,290.2,0
123187,2018-01-04 17:49:17.197,4.074930191,51.95106506,5756141.29,573873.9431,290.2,0
123187,2018-01-02 23:38:08.763,3.990073442,51.9508934,5756039.434,568042.6178,278.1,0
123187,2018-01-04 18:21:27.737,4.078750134,51.94530869,5755504.968,574145.9518,207.1,4
123187,2018-01-04 18:29:56.303,4.06670332,51.93928528,5754822.854,573327.7801,249.3,4.7
123187,2018-01-04 18:37:27.323,4.051439762,51.93570709,5754409.626,572284.305,252.2,4.9
123187,2018-01-04 18:46:06.920,4.03704834,51.93774414,5754621.983,571291.7216,339.9,5.3
123187,2018-01-04 19:17:07.150,4.033740044,51.94356155,5755265.744,571055.107,344.1,0
123187,2018-01-04 19:48:06.067,4.033741474,51.94356537,5755266.17,571055.1993,344.1,0
123187,2018-01-04 20:01:57.823,4.039238453,51.93332672,5754132.838,571449.2933,119.8,5.5
123187,2018-01-04 20:07:16.467,4.054646492,51.93590546,5754434.878,572504.4353,69.8,7.4
123187,2018-01-04 20:13:58.813,4.075541496,51.94010544,5754923.013,573933.9726,74.2,7.4
123187,2018-01-04 20:22:26.143,4.09684515,51.93847275,5754763.291,575401.1054,97,5.2
123187,2018-01-04 20:31:06.273,4.116711617,51.93584824,5754492.175,576771.237,106.8,5.5
123187,2018-01-04 20:37:07.947,4.131506443,51.93388748,5754289.82,577791.7054,101.1,5.8
123187,2018-01-04 20:42:47.603,4.146908283,51.93207169,5754104.451,578853.74,102.9,6.7
123187,2018-01-04 20:51:27.157,4.167793274,51.92533875,5753378.478,580301.6219,137.5,5.2
123187,2018-01-04 20:59:47.813,4.182553291,51.91508484,5752254.472,581335.069,131.7,6.1
123187,2018-01-04 21:06:07.770,4.197235107,51.9088974,5751582.841,582356.1567,128.5,6.2
123187,2018-01-04 21:12:38.523,4.211708546,51.90177917,5750807.661,583364.9074,131.4,5.9
123187,2018-01-04 21:25:46.153,4.231793404,51.88224792,5748658.69,584783.4355,163.4,7
123187,2018-01-04 21:31:47.560,4.241805077,51.87283325,5747623.348,585490.3616,124.8,6.7
123187,2018-01-04 21:37:16.110,4.256010056,51.86791229,5747092.838,586477.6856,120.2,6.3
123187,2018-01-04 21:42:27.863,4.270288467,51.86511993,5746799.339,587466.1488,87.9,6.4
123187,2018-01-04 21:47:37.957,4.285108566,51.86561203,5746871.968,588485.5858,92,6.3
123187,2018-01-04 21:54:36.430,4.306546688,51.86529922,5746863.442,589962.2624,83.8,6.7
123187,2018-01-03 00:08:37.557,3.990078449,51.9508934,5756039.438,568042.9619,268.5,0
123187,2018-01-04 22:21:06.907,4.322773457,51.86582184,5746941.731,591078.4541,100.7,6.5
123187,2018-01-04 22:31:47.117,4.325463295,51.8851738,5749097.296,591224.4788,346.9,9.5
123187,2018-01-04 22:45:27.947,4.353913307,51.89703369,5750452.302,593157.9253,70.2,6.9
123187,2018-01-04 22:52:47.937,4.376281738,51.89704132,5750482.01,594696.9311,97.4,6.8
123187,2018-01-04 22:58:28.640,4.39324522,51.89500809,5750278.089,595868.3998,106,6.8
123187,2018-01-04 23:03:36.907,4.403871536,51.88854218,5749573.043,596613.4223,160,5.5
123187,2018-01-03 00:39:08.303,3.990083218,51.95088959,5756039.019,568043.2954,268.5,0
123187,2018-01-05 01:36:46.070,4.414569855,51.88581085,5749283.535,597355.5392,326.8,0
123187,2018-01-05 02:07:37.417,4.414569855,51.88581085,5749283.535,597355.5392,326.8,0
123187,2018-01-05 02:37:58.757,4.414569855,51.88581085,5749283.535,597355.5392,326.8,0
123187,2018-01-05 03:23:17.417,4.414569855,51.88581085,5749283.535,597355.5392,326.8,0
123187,2018-01-05 03:38:37.017,4.399215221,51.89402008,5750176.088,596281.2846,325.9,6.1
123187,2018-01-05 03:57:18.820,4.459673405,51.89864731,5750772.375,600430.9398,81.6,8.4
123187,2018-01-05 04:11:57.527,4.495178223,51.91637802,5752793.822,602833.1656,48,7.5
123187,2018-01-05 04:25:26.237,4.52390337,51.89989853,5751002.086,604847.0439,107.2,8.1
123187,2018-01-05 05:01:48.563,4.639971733,51.86703491,5747520.87,612914.5618,129.9,8.4
123187,2018-01-05 05:08:46.173,4.655811787,51.85403442,5746099.774,614037.9733,152.2,8.5
123187,2018-01-05 05:13:36.287,4.666446686,51.84475327,5745084.33,614793.9785,142.6,8.3
123187,2018-01-05 05:23:17.743,4.670084953,51.82435608,5742821.728,615096.5848,161.2,8.2
123187,2018-01-03 01:09:27.847,3.990093231,51.95087814,5756037.755,568044.0009,273.9,0
123187,2018-01-03 01:24:48.853,4.001173496,51.95833206,5756877.186,568794.0627,8.8,6.2
123187,2018-01-03 01:29:58.573,4.000608444,51.96743774,5757889.368,568741.3059,351.6,6.8
123187,2018-01-03 01:35:47.263,4.005363464,51.97671127,5758925.258,569053.7083,76.4,5.4
123187,2018-01-03 01:43:27.063,4.024448395,51.97362518,5758600.322,570369.3644,120.1,6.6
123187,2018-01-03 01:48:37.393,4.039406776,51.96949768,5758155.848,571403.3893,112.1,7.3
123187,2018-01-03 01:54:47.567,4.059233189,51.96593475,5757779.237,572771.1242,106.2,7.6
123187,2018-01-03 01:59:56.427,4.075621605,51.96244049,5757407.137,573902.7518,106,7.4
123187,2018-01-02 10:23:58.193,4.328649998,51.87417603,5747878.193,591466.1106,153.5,5.8
123187,2018-01-02 10:37:36.473,4.298413277,51.86645889,5746982.398,589399.9598,270.5,7.7
123187,2018-01-03 02:08:28.150,4.083063126,51.94921875,5755944.238,574435.9153,180,6.4
123187,2018-01-02 10:43:08.723,4.278101444,51.86595154,5746901.236,588002.4699,264.2,8.8
123187,2018-01-03 02:14:38.543,4.085669994,51.93922043,5754834.925,574631.6661,103.5,8.5
123187,2018-01-02 10:53:58.660,4.240888119,51.8736496,5747713.061,585425.6902,302.6,8
123187,2018-01-02 10:59:48.083,4.231693268,51.88484573,5748947.487,584771.6564,337.5,7.6
123187,2018-01-03 02:19:17.450,4.104865074,51.93751907,5754665.568,575954.0183,101.4,10
123187,2018-01-03 02:23:35.093,4.123996735,51.93484116,5754387.882,577273.7862,102.7,10
123187,2018-01-02 11:04:57.147,4.223351479,51.89490128,5750056.133,584178.7604,327.2,8.1
123187,2018-01-02 11:13:07.037,4.200108528,51.90800476,5751486.821,582555.4453,311.8,9.4
